City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Lerwick,GB,60.1545,-1.1494,53.6,88,83,16.33,broken clouds
204,Kalininsk,RU,51.5,44.4758,65.48,63,100,14.7,overcast clouds
205,Deputatskiy,RU,69.3,139.9,0.3,97,98,4.85,overcast clouds
206,Ca Mau,VN,9.1769,105.15,75.92,93,100,2.73,light rain
207,Atbasar,KZ,51.8,68.3333,33.91,48,0,7.11,clear sky
208,Sampit,ID,-2.5333,112.95,73.56,99,100,1.21,moderate rain
209,Ferkessedougou,CI,9.6,-5.2,74.17,93,99,5.32,overcast clouds
210,Ossora,RU,59.2353,163.0719,36.48,81,72,5.82,broken clouds
211,Ponta Do Sol,PT,32.6667,-17.1,72.72,83,61,5.32,broken clouds
212,Gore,NZ,-46.1028,168.9436,41.58,97,57,6.78,light rain
213,Tori Fatehpur,IN,25.45,79.1333,80.28,60,3,4.97,clear sky
214,Laukaa,RU,58.7372,29.8453,42.28,96,100,6.46,overcast clouds
215,Hasaki,JP,35.7333,140.8333,66.6,66,100,5.26,overcast clouds
216,Santa Maria,BR,-29.6842,-53.8069,69.1,56,75,9.22,broken clouds
217,Tarakan,ID,3.3,117.6333,80.04,76,100,1.83,light rain
218,Marrakesh,MA,31.6315,-8.0083,84.27,26,4,4.61,haze
219,Poum,NC,-20.2333,164.0167,74.41,70,99,16.42,overcast clouds
220,Mango,US,27.9797,-82.3065,87.24,45,0,10.36,clear sky
221,Kurilsk,RU,45.2333,147.8833,48.07,84,3,12.1,clear sky
222,Chuy,UY,-33.6971,-53.4616,64.62,54,0,6.73,clear sky
223,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,2.3,broken clouds
224,Horadiz,AZ,39.4488,47.3353,67.39,82,2,4.56,clear sky
225,Celestun,MX,20.8667,-90.4,82.8,57,48,10.8,scattered clouds
226,Portsmouth,GB,50.799,-1.0913,56.97,93,11,5.21,few clouds
227,Waingapu,ID,-9.6567,120.2641,78.96,82,77,1.72,broken clouds
228,Ostrovnoy,RU,68.0531,39.5131,37.63,80,99,9.75,overcast clouds
229,Pisco,PE,-13.7,-76.2167,66.25,68,0,5.75,clear sky
230,Hobyo,SO,5.3505,48.5268,76.53,87,92,20.94,overcast clouds
231,Bilibino,RU,68.0546,166.4372,27.63,95,100,0.92,overcast clouds
232,Avera,US,33.194,-82.5271,77.38,43,50,10.49,scattered clouds
233,Edson,CA,53.5835,-116.4356,69.91,43,0,9.22,clear sky
234,Severo-Kurilsk,RU,50.6789,156.125,43.88,71,94,8.7,overcast clouds
235,Road Town,VG,18.4167,-64.6167,87.89,79,20,4.61,few clouds
236,Dawlatabad,AF,36.4141,64.9053,59.18,27,0,2.39,clear sky
237,Yurimaguas,PE,-5.9,-76.0833,87.96,66,40,3.44,scattered clouds
238,Guaruja,BR,-23.9931,-46.2564,73.89,40,100,1.99,overcast clouds
239,Sept-Iles,CA,50.2001,-66.3821,52.23,42,20,13.8,few clouds
240,Riyadh,SA,24.6877,46.7219,82.54,12,0,8.52,clear sky
241,Rakai,UG,-0.72,31.4839,64.45,74,91,4.59,overcast clouds
242,Jalu,LY,29.0331,21.5482,83.32,49,0,20.98,clear sky
243,Udachnyy,RU,66.4167,112.4,20.86,95,99,8.41,overcast clouds
244,Kawalu,ID,-7.3817,108.2082,72.73,98,100,1.3,overcast clouds
245,Yebaishou,CN,41.3975,119.6408,57.9,87,100,11.68,overcast clouds
246,Januaria,BR,-15.4833,-44.3667,88.41,35,83,6.71,broken clouds
247,Devonport,AU,-41.1667,146.35,47.98,70,98,4.03,overcast clouds
248,Richards Bay,ZA,-28.783,32.0377,69.22,94,2,4.79,clear sky
249,Rongcheng,CN,30.634,117.8517,80.55,60,4,3.69,clear sky
250,Kenai,US,60.5544,-151.2583,46.09,98,100,3.44,light rain
251,Kununurra,AU,-15.7667,128.7333,75.18,78,100,4.61,overcast clouds
252,Hays,US,30.0502,-98.0336,85.08,34,97,4.0,overcast clouds
253,Marzuq,YE,14.4,46.4667,75.49,51,6,4.43,clear sky
254,Chokwe,MZ,-24.5333,32.9833,74.01,70,0,7.76,clear sky
255,Lagoa,PT,39.05,-27.9833,70.63,89,100,15.9,overcast clouds
256,Katangli,RU,51.7102,143.2326,50.74,93,100,12.86,overcast clouds
257,Otterup,DK,55.5153,10.3976,53.38,87,8,20.31,clear sky
258,Elizabeth City,US,36.2946,-76.2511,71.62,77,100,8.05,overcast clouds
259,Yakeshi,CN,49.2833,120.7333,27.77,43,98,5.35,overcast clouds
260,Homer,US,59.6425,-151.5483,48.78,92,100,5.75,overcast clouds
261,Kahului,US,20.8947,-156.47,85.96,69,20,9.22,few clouds
262,Taunggyi,MM,20.7833,97.0333,62.96,99,100,3.2,overcast clouds
263,Roma,US,43.2128,-75.4557,65.62,46,0,10.36,clear sky
264,Parker,US,32.7668,-97.8003,82.85,32,0,4.0,clear sky
265,Fairbanks,US,64.8378,-147.7164,40.6,94,100,3.44,mist
266,Carballo,ES,43.213,-8.691,65.62,97,98,2.21,overcast clouds
267,Rosetta,EG,31.4044,30.4164,78.44,84,0,13.6,clear sky
268,Alta Floresta,BR,-9.8756,-56.0861,100.78,19,96,1.25,overcast clouds
269,Broome,US,42.2506,-75.833,60.6,69,75,11.5,broken clouds
270,Nuuk,GL,64.1835,-51.7216,38.01,75,75,8.05,broken clouds
271,Oriximina,BR,-1.7656,-55.8661,91.76,45,95,1.77,overcast clouds
272,Gamba,GA,-2.65,10.0,76.17,89,100,4.27,overcast clouds
273,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
274,Antofagasta,CL,-23.65,-70.4,60.08,64,41,8.7,scattered clouds
275,Cidreira,BR,-30.1811,-50.2056,63.81,83,73,6.42,broken clouds
276,Angoram,PG,-4.0625,144.0661,72.1,99,93,2.13,overcast clouds
277,Santo Domingo,DO,18.5001,-69.9886,85.64,82,75,6.91,broken clouds
278,Baiyin,CN,36.5583,104.2081,47.19,30,92,11.88,overcast clouds
279,Taoudenni,ML,22.6783,-3.9836,96.35,22,13,5.86,few clouds
280,Bilma,NE,18.6853,12.9164,92.77,12,0,7.52,clear sky
281,Sovetskiy,RU,61.3614,63.5842,37.2,86,100,9.71,overcast clouds
282,Galeana,MX,24.8333,-100.0667,67.8,52,7,9.95,clear sky
283,Atar,MR,20.5169,-13.0499,93.51,23,0,5.91,clear sky
284,Geraldton,AU,-28.7667,114.6,55.81,71,40,4.61,scattered clouds
285,Labrea,BR,-7.2586,-64.7981,93.72,38,100,4.21,overcast clouds
286,Arlit,NE,18.7369,7.3853,97.74,9,0,15.26,clear sky
287,Ormara,PK,25.2088,64.6357,79.81,82,17,10.4,few clouds
288,Isangel,VU,-19.55,169.2667,75.31,83,10,6.91,clear sky
289,Sami,GM,13.5833,-15.2,80.55,79,100,5.59,light rain
290,Siguiri,GN,11.6667,-9.5,75.78,86,70,3.09,broken clouds
291,Muros,ES,42.7762,-9.0603,64.83,77,96,8.63,overcast clouds
292,Roald,NO,62.5833,6.1333,54.91,87,75,16.11,broken clouds
293,Iralaya,HN,15.0,-83.2333,82.74,77,43,15.37,scattered clouds
294,Rong Kwang,TH,18.339,100.3174,73.11,95,100,0.98,overcast clouds
295,Itaueira,BR,-7.6033,-43.0256,95.5,17,8,6.06,clear sky
296,Boden,SE,65.8252,21.6886,50.0,88,86,1.61,overcast clouds
297,Uberherrn,DE,49.2419,6.6984,54.88,99,57,4.36,broken clouds
298,Morgaushi,RU,55.9643,46.7743,57.36,96,100,11.41,overcast clouds
299,Stawell,AU,-37.05,142.7667,45.28,81,99,1.25,overcast clouds
300,Moron,AR,-34.6534,-58.6198,81.95,44,13,6.85,few clouds
301,Abha,SA,18.2164,42.5053,64.22,82,0,0.0,clear sky
302,Derzhavinsk,KZ,51.1,66.3167,36.03,38,0,7.31,clear sky
303,Leninsk,RU,48.7119,45.1994,68.41,56,100,18.84,overcast clouds
304,Lasa,IT,46.6166,10.7002,53.37,91,36,7.27,scattered clouds
305,Moussoro,TD,13.6408,16.4901,92.61,28,2,9.82,clear sky
306,West Wendover,US,40.7391,-114.0733,60.01,39,0,4.61,clear sky
307,Mahanoro,MG,-19.9,48.8,64.62,87,2,5.5,clear sky
308,Tabora,TZ,-5.0167,32.8,75.96,20,8,9.08,clear sky
309,Mount Isa,AU,-20.7333,139.5,74.97,29,100,5.75,overcast clouds
310,Adrar,MR,20.5022,-10.0711,92.91,25,100,10.33,overcast clouds
311,Pangkalanbuun,ID,-2.6833,111.6167,74.16,97,100,1.48,light rain
312,Marawi,PH,7.9986,124.2928,69.06,92,100,2.33,overcast clouds
313,Poya,NC,-21.35,165.15,71.29,74,100,4.76,overcast clouds
314,Emerald,AU,-23.5333,148.1667,66.34,100,100,6.91,overcast clouds
315,Alexandria,EG,31.2156,29.9553,81.14,83,0,14.56,clear sky
316,Thurso,GB,58.5927,-3.5259,55.85,87,100,17.83,overcast clouds
317,Kloulklubed,PW,7.0419,134.2556,77.5,75,100,9.98,moderate rain
318,San Cristobal,VE,7.7669,-72.225,80.78,48,89,7.36,overcast clouds
319,Remanso,BR,-9.6179,-42.0831,89.19,31,19,9.31,few clouds
320,Lata,PT,40.1629,-8.3327,71.92,39,0,1.1,clear sky
321,Tautira,PF,-17.7333,-149.15,77.58,75,98,11.23,light rain
322,Sergeyevka,KZ,53.88,67.4158,33.49,41,0,5.88,clear sky
323,Olafsvik,IS,64.8945,-23.7142,45.34,89,100,19.82,moderate rain
324,Bonthe,SL,7.5264,-12.505,76.39,91,100,8.61,moderate rain
325,Tekeli,KZ,44.83,78.8239,42.73,18,0,8.37,clear sky
326,Fukue,JP,32.6881,128.8419,76.71,77,0,16.73,clear sky
327,Port Elizabeth,ZA,-33.918,25.5701,65.32,96,75,8.05,broken clouds
328,Te Anau,NZ,-45.4167,167.7167,39.99,94,99,2.13,overcast clouds
329,Smithers,CA,54.7804,-127.1743,57.52,72,40,2.3,scattered clouds
330,Bathsheba,BB,13.2167,-59.5167,84.81,79,75,19.57,broken clouds
331,Athabasca,CA,54.7169,-113.2854,73.13,38,6,10.29,clear sky
332,Manakara,MG,-22.1333,48.0167,65.19,83,0,6.71,clear sky
333,Verkhniye Kigi,RU,55.4083,58.6044,48.45,69,100,4.7,overcast clouds
334,Hervey Bay,AU,-25.2986,152.8535,57.02,94,30,15.01,scattered clouds
335,Maniitsoq,GL,65.4167,-52.9,35.83,62,100,2.17,overcast clouds
336,Ilulissat,GL,69.2167,-51.1,33.82,75,75,0.0,broken clouds
337,Dourbali,TD,11.8091,15.8632,85.75,57,7,9.95,clear sky
338,Palmas Bellas,PA,9.2319,-80.0867,86.0,83,100,2.98,overcast clouds
339,Haradok,BY,55.4624,29.9816,44.71,95,100,13.78,light rain
340,Faanui,PF,-16.4833,-151.75,77.97,75,49,14.99,light rain
341,Kutum,SD,14.2,24.6667,82.36,36,92,6.02,overcast clouds
342,Biak,ID,-0.9131,122.8766,76.32,83,86,1.32,overcast clouds
343,Uzhur,RU,55.3036,89.8339,25.77,88,71,2.86,broken clouds
344,Port Macquarie,AU,-31.4333,152.9167,46.89,84,2,7.38,clear sky
345,Baker City,US,44.7749,-117.8344,67.59,48,0,4.61,clear sky
346,Oranjemund,NA,-28.55,16.4333,58.15,88,0,7.54,clear sky
347,Nakamura,JP,32.9833,132.9333,70.32,90,100,2.75,overcast clouds
348,Lompoc,US,34.6391,-120.4579,74.01,71,100,6.91,overcast clouds
