City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Nybro,SE,52.25,overcast clouds,56.7446,15.9071,Stora Hotellet I Nybro
170,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
171,Kruisfontein,ZA,62.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
172,Ancud,CL,59.11,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
177,Kamina,CD,69.12,overcast clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
178,Valparaiso,CL,59.0,fog,-33.0393,-71.6273,Hotel Ultramar
181,Narsaq,GL,37.62,broken clouds,60.9167,-46.05,Sleep In Narsaq
183,Shu,KZ,49.57,few clouds,43.5983,73.7614,Shyngyzkhan
184,Rybnoye,RU,56.64,overcast clouds,54.7256,39.5119,"Cafe-motel ""Sail"""
185,Kaitangata,NZ,43.02,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
186,Sitka,US,49.89,clear sky,57.0531,-135.33,Westmark Sitka
194,Xichang,CN,63.18,clear sky,27.8964,102.2634,Xichang ibis Hotel
195,Lebu,CL,56.82,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
199,Caluquembe,AO,69.67,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
200,Huallanca,PE,57.6,broken clouds,-9.8993,-76.9417,HOSTAL MARBEN
201,Mehamn,NO,40.91,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
203,Lerwick,GB,53.6,broken clouds,60.1545,-1.1494,The Lerwick Hotel
204,Kalininsk,RU,65.48,overcast clouds,51.5,44.4758,Guest House on Chekhova
205,Deputatskiy,RU,0.3,overcast clouds,69.3,139.9,Baza Otdykha
207,Atbasar,KZ,33.91,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
212,Gore,NZ,41.58,light rain,-46.1028,168.9436,Esplanade Motels
214,Laukaa,RU,42.28,overcast clouds,58.7372,29.8453,U Lysoy Gory Hotel
215,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
216,Santa Maria,BR,69.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
221,Kurilsk,RU,48.07,clear sky,45.2333,147.8833,Hotel Ostrov
222,Chuy,UY,64.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
223,Longyearbyen,SJ,37.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
224,Horadiz,AZ,67.39,clear sky,39.4488,47.3353,Horadiz Olympic Center
226,Portsmouth,GB,56.97,few clouds,50.799,-1.0913,Royal Beach Hotel
229,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
231,Bilibino,RU,27.63,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
233,Edson,CA,69.91,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
234,Severo-Kurilsk,RU,43.88,overcast clouds,50.6789,156.125,Kak Doma
236,Dawlatabad,AF,59.18,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
239,Sept-Iles,CA,52.23,few clouds,50.2001,-66.3821,Comfort Inn
